sido_code,sido_name, year_2017 , year_2018 , year_2019 , year_2020 , year_2021 , year_2022 
0,계," 26,744 "," 26,868 "," 27,038 "," 26,562 "," 27,214 "," 28,078 "
11,서울특별시," 5,132 "," 5,098 "," 5,052 "," 4,986 "," 5,057 "," 5,120 "
21,부산광역시," 1,688 "," 1,653 "," 1,661 "," 1,601 "," 1,658 "," 1,664 "
22,대구광역시," 1,249 "," 1,225 "," 1,220 "," 1,131 "," 1,217 "," 1,226 "
23,인천광역시," 1,523 "," 1,562 "," 1,583 "," 1,546 "," 1,562 "," 1,590 "
24,광주광역시, 741 , 755 , 745 , 737 , 751 , 744 
25,대전광역시, 766 , 760 , 755 , 768 , 775 , 787 
26,울산광역시, 583 , 571 , 569 , 552 , 553 , 561 
29,세종특별자치시, 127 , 144 , 165 , 177 , 187 , 196 
31,경기도," 6,660 "," 6,796 "," 6,924 "," 6,852 "," 7,062 "," 7,601 "
32,강원도, 805 , 804 , 831 , 801 , 818 , 826 
33,충청북도, 868 , 889 , 883 , 887 , 897 , 928 
34,충청남도," 1,149 "," 1,182 "," 1,209 "," 1,173 "," 1,203 "," 1,221 "
35,전라북도, 936 , 921 , 933 , 913 , 948 , 976 
36,전라남도, 956 , 968 , 968 , 960 , 982 ," 1,013 "
37,경상북도," 1,446 "," 1,439 "," 1,423 "," 1,395 "," 1,408 "," 1,471 "
38,경상남도," 1,740 "," 1,733 "," 1,741 "," 1,713 "," 1,748 "," 1,763 "
39,제주특별자치도, 375 , 370 , 378 , 370 , 389 , 393 
